Orden,Nombre,Frecuencia,Edad Media
211,FERRAN,12431,26.8
212,BLAS,12357,56.5
213,ABRAHAM,12315,22.6
214,DAMIAN,12286,39.6
215,CANDIDO,12276,61.5
216,LUIS FERNANDO,12269,44.6
217,JUAN BAUTISTA,12264,55.5
218,SAID,12210,37.5
219,FLORENCIO,12205,63.8
220,LUIS MANUEL,12195,41.9
221,JUSTO,12174,60.9
222,ARMANDO,12068,50.2
223,SANTOS,12041,58.2
224,CARLOS JAVIER,11955,38.1
225,ENRIC,11948,39.8
226,PEDRO LUIS,11749,46.9
227,GINES,11706,51.8
228,JOSE JOAQUIN,11234,46.2
229,ERIK,11215,10.4
230,LEONARDO,11193,42.1
231,RACHID,11189,36.3
232,JUAN MARIA,11161,51.1
233,JOSE DAVID,11117,29.9
234,YOUSSEF,11108,23.6
235,ALEIX,11080,14.5
236,EMILIANO,11066,61.3
237,EDUARD,10905,31.7
238,SERAFIN,10850,59.5
239,YERAY,10790,14.6
240,OLIVER,10747,17.3
241,FAUSTINO,10727,62.3
242,FRANCISCO ANTONIO,10296,44.2
243,JULEN,10283,16.0
244,MAXIMO,10196,55.6
245,FIDEL,10094,57.1
246,EMILIO JOSE,9888,35.1
247,JOSE ANDRES,9883,43.8
248,RAMIRO,9852,56.0
249,AMADOR,9844,58.1
250,LUIS ANTONIO,9829,47.2
251,LUIS MARIA,9829,53.5
252,JESUS ANGEL,9798,45.2
253,JAIRO,9747,20.0
254,CLAUDIO,9587,52.9
255,JULIO CESAR,9585,41.9
256,ION,9557,39.7
257,ALI,9554,33.8
258,EDGAR,9541,21.1
259,ROGELIO,9532,58.5
260,ENEKO,9524,17.4
261,LUIS ANGEL,9429,45.0
262,JAN,9420,12.0
263,MUSTAPHA,9317,39.9
264,SIMON,9297,42.2
265,LUCIANO,9180,59.7
266,LEO,9169,3.6
267,MANUEL ANTONIO,8967,47.4
268,IGOR,8913,32.9
269,MODESTO,8878,62.0
270,FLORENTINO,8869,64.2
271,FRANCISCO MIGUEL,8788,40.2
272,JACOBO,8718,26.9
273,JOAQUIM,8712,49.3
274,PEDRO MANUEL,8712,42.7
275,ALEXANDRE,8688,27.3
276,ILDEFONSO,8655,56.9
277,GHEORGHE,8631,45.3
278,EZEQUIEL,8625,34.6
279,ALEXIS,8553,23.7
280,JUAN DIOS,8501,47.9
281,JOSE FERNANDO,8407,46.6
282,VASILE,8359,42.8
283,PAULINO,8358,62.0
284,ANDREU,8222,28.9
285,JUAN VICENTE,8173,47.4
286,AVELINO,8138,63.1
287,CELESTINO,8135,62.5
288,CONSTANTINO,8098,59.4
289,ELADIO,8061,61.2
290,SATURNINO,8011,65.7
291,MANUEL JOSE,8004,46.6
292,HASSAN,7966,40.0
293,LEANDRO,7965,49.0
294,IOAN,7919,44.8
295,JUAN DIEGO,7884,31.8
296,CARLOS MANUEL,7865,40.4
297,ANTONIO JAVIER,7820,37.5
298,JOSE DANIEL,7815,34.0
299,ANTONIO MIGUEL,7785,42.2
300,ANTONIO LUIS,7719,44.6
301,RUFINO,7714,64.1
302,JUAN ANDRES,7686,42.9
303,LUIS JAVIER,7586,43.1
304,PEDRO MARIA,7586,55.5
305,CAYETANO,7464,46.4
306,BIEL,7449,6.2
307,JORGE LUIS,7421,40.1
308,PEDRO JESUS,7362,39.4
309,LUIS CARLOS,7321,43.9
310,JOSUE,7188,24.3
311,ROBERT,7129,36.3
312,NIL,7105,8.9
313,YAGO,7098,11.9
314,JUAN ANGEL,7080,46.0
315,IAN,7058,11.2
316,GASPAR,7027,55.5
317,FABIAN,7021,34.4
318,FRANCESC XAVIER,7014,45.0
319,NESTOR,7005,28.7
320,ANGEL MANUEL,6948,41.5
321,CLEMENTE,6938,59.2
322,MANEL,6915,32.5
323,BASILIO,6819,59.4
324,FELICIANO,6785,63.7
325,IMANOL,6706,27.6
326,RAIMUNDO,6698,58.9
327,MUHAMMAD,6689,34.4
328,HILARIO,6665,62.1
329,KHALID,6607,34.0
330,IAGO,6566,14.7
331,IBAI,6563,13.0
332,RICARD,6516,35.6
333,MARCELO,6406,47.2
334,EVARISTO,6399,60.9
335,CONSTANTIN,6383,42.6
336,ARITZ,6375,19.1
337,MAURO,6239,22.4
338,ANDONI,6238,28.3
339,MARCIAL,6193,58.8
340,ABDELLAH,6187,38.7
341,ABDELKADER,6150,44.0
342,LAUREANO,6148,60.8
343,ELISEO,6091,59.5
344,JUAN ALBERTO,6081,39.1
345,BENIGNO,6038,63.9
346,JOSU,6034,29.8
347,JESUS ANTONIO,6024,47.7
348,ANGEL MARIA,6011,51.5
349,NARCISO,6006,60.4
350,SEGUNDO,5898,65.4
351,CECILIO,5897,60.7
352,BERNARDINO,5895,61.2
353,JOSEBA,5867,32.1
354,FERNANDO JOSE,5851,40.6
