Orden,Nombre,Frecuencia,Edad Media
209,NADIA,15635,23.3
210,AIDA,15551,27.5
211,EULALIA,15452,61.6
212,ERIKA,15374,17.4
213,HERMINIA,15162,66.5
214,NAIARA,15045,14.3
215,ENRIQUETA,14721,68.5
216,MARIA REMEDIOS,14499,53.2
217,ELISABETH,14389,31.4
218,NORA,14335,12.6
219,MARIA REYES,14147,47.8
220,ESTELA,14112,24.4
221,PAOLA,14019,16.0
222,MACARENA,13889,27.5
223,ELSA,13626,22.0
224,MARIA ARANZAZU,13403,48.3
225,TATIANA,13386,29.4
226,PIEDAD,13312,64.0
227,MAR,13303,11.9
228,GREGORIA,13285,70.7
229,YAIZA,13244,15.8
230,FLORENTINA,13243,63.1
231,MARIA TRINIDAD,13022,49.2
232,AMAIA,12955,28.7
233,AINA,12883,11.6
234,SARAY,12829,17.1
235,MARIA ESPERANZA,12728,52.6
236,AURELIA,12690,66.2
237,ARANZAZU,12689,36.3
238,AFRICA,12547,27.2
239,JIMENA,12530,7.6
240,ITZIAR,12445,28.6
241,LOLA,12438,8.1
242,MIRIAN,12286,26.7
243,AMANDA,12212,22.4
244,JOANA,12162,33.7
245,CANDIDA,12111,67.7
246,MAITE,11906,34.1
247,LEYRE,11646,11.2
248,ANA ROSA,11107,45.8
249,SAGRARIO,11064,64.2
250,MERCE,11036,54.1
251,CARIDAD,10936,60.1
252,RITA,10772,52.0
253,ANTONIA MARIA,10734,47.8
254,MERITXELL,10679,29.0
255,DESIREE,10582,20.7
256,IRIA,10572,15.2
257,IRIS,10500,17.2
258,ANE,10439,14.7
259,MARIA SOL,10401,49.3
260,KHADIJA,10343,32.3
261,TOMASA,10173,71.3
262,MARIA JULIA,10164,53.7
263,AGUEDA,10163,54.8
264,MARIA MANUELA,10137,59.5
265,NEUS,10122,30.3
266,TEODORA,10081,67.6
267,MARIA INES,10006,50.6
268,FELICIDAD,10001,66.8
269,ROSER,9941,51.0
270,ADELINA,9903,64.1
271,MARIA FERNANDA,9875,43.2
272,CONSOLACION,9871,59.4
273,LYDIA,9827,25.8
274,ELIZABETH,9776,34.2
275,BENITA,9739,69.9
276,VIOLETA,9655,27.5
277,MARIA GRACIA,9621,53.2
278,ALBA MARIA,9598,19.6
279,ESMERALDA,9593,38.2
280,MARIA ASCENSION,9550,56.4
281,CARME,9519,59.2
282,FILOMENA,9501,70.1
283,OLIVIA,9478,19.7
284,MARIA CANDELARIA,9468,51.9
285,HORTENSIA,9424,67.6
286,AMAYA,9314,33.9
287,CANDELARIA,9301,61.1
288,ELOISA,9254,59.5
289,MARIA DOLORS,9190,59.2
290,ANA CRISTINA,9169,37.0
291,MARIA PURIFICACION,9064,60.4
292,ADELAIDA,9061,60.2
293,MARIA CARME,8856,56.3
294,MARCELINA,8748,70.6
295,ANNA MARIA,8606,49.3
296,MARIA SAGRARIO,8575,58.6
297,GISELA,8450,19.2
298,FLORA,8413,65.7
299,AZUCENA,8395,44.6
300,MARIA AURORA,8298,54.5
301,VISITACION,8292,68.6
302,ELIA,8230,32.6
303,ANGELA MARIA,8216,37.6
304,MARIA PINO,8177,55.1
305,MICAELA,8168,58.6
306,JENIFER,8119,24.0
307,ELENA MARIA,8116,36.3
308,IRINA,8114,29.4
309,ANABEL,8106,25.2
310,MONSERRAT,8095,44.9
311,NAYARA,8087,8.2
312,FERNANDA,8069,62.1
313,ESTIBALIZ,7989,31.7
314,MARIA BLANCA,7930,56.0
315,IRATI,7794,12.3
316,REGINA,7769,55.6
317,SALMA,7743,8.9
318,NAZARET,7742,18.2
319,MARIA AUXILIADORA,7683,46.4
320,YASMINA,7681,19.1
321,FUENSANTA,7649,56.7
322,EDURNE,7634,26.7
323,PAULINA,7607,61.6
324,ABRIL,7581,6.5
325,ZAIRA,7565,13.6
326,LUISA MARIA,7561,44.7
327,ROSA ANA,7536,41.6
328,AVELINA,7516,69.5
329,JANA,7515,12.3
330,AICHA,7420,40.3
331,DELIA,7395,45.8
332,MARIA SOCORRO,7389,62.9
333,MARIA PALOMA,7386,50.7
334,MARIA VALLE,7352,48.1
335,MARTA MARIA,7319,38.6
336,NAIMA,7291,35.2
337,VIRTUDES,7240,65.1
338,MARIA GUADALUPE,7213,50.5
339,FLORENCIA,7185,65.3
340,SALVADORA,7134,64.7
341,MARIA LUCIA,7133,47.4
342,ARANTXA,7096,25.0
343,DOLORS,7029,67.4
344,MARIA ESTRELLA,7018,53.6
345,MARIA GEMA,6998,42.6
346,SEBASTIANA,6978,66.2
347,DELFINA,6976,68.0
348,VERA,6968,12.2
349,LAURA MARIA,6956,29.1
350,AINOA,6948,16.3
351,INMACULADA CONCEPCION,6938,38.9
352,MARIA DESAMPARADOS,6898,54.6
353,LUNA,6874,10.9
354,ALEXIA,6862,11.1
355,GENOVEVA,6845,60.3
356,MARIONA,6762,15.7
357,ANGELICA,6752,40.7
358,FELIPA,6728,71.9
359,MARIA ELISA,6691,52.5
360,JUSTA,6687,71.0
361,MARISOL,6679,45.8
362,PATROCINIO,6656,69.4
363,FABIOLA,6636,36.8
364,MARIA SONIA,6627,42.7
365,INES MARIA,6601,42.0
366,LUZ MARIA,6581,39.2
367,SAMIRA,6580,27.2
368,JESICA,6577,27.5
369,JESUSA,6571,73.5
370,MARIA ANGELS,6558,53.3
371,AYA,6552,6.2
372,ANGELINA,6519,60.1
373,MARIA CINTA,6516,56.2
374,MARIAM,6490,15.3
375,INGRID,6487,26.6
376,YANIRA,6485,12.2
377,ALFONSA,6482,66.4
378,IDOIA,6463,35.1
379,MARIA OLGA,6462,54.3
380,SABINA,6458,53.1
381,MARIA VICENTA,6392,55.6
382,AUREA,6366,65.3
383,CORAL,6352,22.2
384,MARIA NATIVIDAD,6327,59.2
385,LILIANA,6316,38.1
386,PALMIRA,6265,66.5
387,ISIDORA,6249,68.4
388,LORENZA,6231,68.7
389,MIREYA,6211,20.6
390,MARIA ANGELA,6180,57.1
391,OBDULIA,6130,68.3
392,IRATXE,6024,27.1
393,ROSANA,6000,33.9
394,IZASKUN,5998,36.4
395,MAIDER,5992,22.5
396,DESAMPARADOS,5990,63.0
397,MIHAELA,5978,35.0
398,NAGORE,5947,21.6
399,CARMEN ROSA,5878,50.8
400,MALIKA,5878,44.4
401,MARIA BEATRIZ,5854,43.8
402,MARIA ANGUSTIAS,5842,54.5
403,REYES,5839,45.4
404,VEGA,5822,5.8
405,GRACIA,5806,58.9
406,MARIA ARACELI,5787,50.4
407,DIONISIA,5780,71.0
408,ALMA,5779,8.4
409,MARA,5774,10.8
410,MARIA FATIMA,5765,45.3
411,BRIGIDA,5752,64.2
412,JACINTA,5698,68.7
413,AMINA,5642,29.2
414,FATIHA,5635,38.6
415,DEBORA,5626,27.3
416,MODESTA,5609,70.1
417,GEORGINA,5579,33.4
418,EVANGELINA,5576,63.0
419,MARIA JUANA,5572,63.2
420,RUFINA,5519,71.0
421,NAHIA,5466,7.6
422,AZAHARA,5462,18.8
423,MARIA PIEDAD,5458,56.2
424,BIENVENIDA,5448,65.1
425,ANGUSTIAS,5427,66.8
426,TERESA JESUS,5374,52.7
427,MAIALEN,5369,15.5
428,CLOTILDE,5334,68.4
429,NAIA,5327,7.5
430,ANASTASIA,5324,51.0
431,OTILIA,5307,67.8
432,DAVINIA,5293,25.9
433,SOCORRO,5291,68.3
434,URSULA,5287,45.9
435,SONIA MARIA,5270,38.4
436,EMILIANA,5246,71.0
437,MARIA ALEJANDRA,5221,33.6
438,GERTRUDIS,5216,64.8
439,JOSEFA MARIA,5200,53.9
440,RACHIDA,5176,39.6
441,BALBINA,5164,69.3
442,DOMINGA,5161,67.6
443,OLGA MARIA,5064,42.3
444,MARIA NURIA,5045,49.7
445,MARIA AZUCENA,5003,50.7
446,KARIMA,4993,32.3
447,NAROA,4944,11.3
448,UXUE,4938,10.4
449,ANTIA,4922,13.1
450,JUNE,4915,12.0
451,SARAI,4875,22.5
452,MYRIAM,4770,31.0
453,MARIA RAQUEL,4750,47.4
454,MARIA CONSOLACION,4741,58.9
455,CRISTINA MARIA,4729,32.5
456,MARCELA,4717,49.7
457,LAILA,4691,24.8
458,ANAIS,4676,15.8
459,FELICIANA,4675,69.7
460,ERICA,4653,24.0
461,EUSEBIA,4624,72.2
462,MARIA ELVIRA,4614,52.8
463,FRANCESCA,4590,52.0
464,GLORIA MARIA,4586,42.3
465,IGNACIA,4582,70.5
466,MARIBEL,4579,43.8
467,LINA,4572,30.6
468,SAIDA,4565,35.5
469,FELICITAS,4556,71.9
470,ZOE,4534,7.6
471,ILUMINADA,4524,65.7
472,COVADONGA,4522,39.5
473,VICTORINA,4497,73.8
474,MARIA EVA,4480,48.2
475,MARIA LAURA,4476,42.1
476,MELANIA,4467,26.5
477,MARIA PRADO,4453,50.1
478,ENGRACIA,4448,70.4
479,MARIA SALUD,4446,53.3
480,PRESENTACION,4444,69.0
481,MINERVA,4431,24.0
482,YASMIN,4421,10.4
483,INOCENCIA,4419,70.0
484,MIREN,4412,34.0
485,ONA,4408,7.8
486,EIDER,4387,18.0
487,GUILLERMINA,4385,61.6
488,MARIA ALICIA,4374,53.6
489,SILVIA MARIA,4351,36.0
490,CAYETANA,4347,22.1
491,NICOLASA,4346,70.0
492,OLATZ,4304,26.6
493,SANDRA MARIA,4267,33.7
494,BOUCHRA,4265,31.3
495,SALUD,4264,61.8
496,FAUSTINA,4255,70.2
497,MARIA ALMUDENA,4248,43.1
498,MARIA MERCE,4240,52.4
499,OLIVA,4238,67.0
500,HANANE,4235,29.9
501,JULIA MARIA,4233,42.5
502,NICOLE,4214,17.1
503,MAITANE,4210,21.8
504,GEMA MARIA,4205,33.4
505,LUZ MARINA,4197,46.5
506,CINTIA,4174,21.2
507,MARIA FE,4170,53.7
508,SARA MARIA,4158,29.6
509,SATURNINA,4147,73.0
510,MARIA CELIA,4145,56.1
511,UXIA,4123,10.7
512,VICTORIA EUGENIA,4123,40.3
513,LATIFA,4098,38.6
514,FERMINA,4094,69.6
515,CELESTINA,4069,69.8
516,SAMARA,4062,12.9
517,MARIA EMILIA,4049,51.6
518,PAULA MARIA,4025,25.6
519,FRANCISCA MARIA,4021,47.2
520,SACRAMENTO,4016,63.8
521,ICIAR,4014,32.2
522,SERAFINA,4006,67.9
523,ANA CARMEN,4004,45.5
524,LORETO,3994,39.8
525,MALAK,3971,4.7
526,MARIA MARGARITA,3969,54.4
527,ALINA,3968,28.0
528,ELISA ISABEL,3965,40.6
529,RUT,3961,27.0
530,CAMILA,3940,36.3
531,CONCEPCIO,3893,68.8
532,SAIOA,3872,22.4
533,PASTORA,3856,57.7
534,CLARA ISABEL,3847,42.4
535,XENIA,3837,16.4
536,BASILISA,3823,73.1
537,PASCUALA,3775,69.8
538,PAZ,3769,55.1
539,MARIA FELISA,3758,57.8
540,GRACIELA,3696,39.9
541,BIBIANA,3672,45.1
542,SOUAD,3656,34.2
543,MARAVILLAS,3635,56.6
544,BENEDICTA,3626,70.7
545,SABRINA,3625,24.2
546,LUZ,3615,53.0
547,NICOLETA,3615,34.8
548,ZAIDA,3597,22.5
549,JACQUELINE,3596,41.2
550,OIHANE,3589,17.5
551,MARIA SANDRA,3564,39.4
552,HAIZEA,3540,11.3
553,HAFIDA,3518,40.0
554,CASILDA,3512,62.5
555,SARAH,3508,19.2
556,MARIA ADELA,3501,53.3
557,IOANA,3495,41.5
558,AMAL,3492,22.2
559,SALOME,3483,39.8
560,JERONIMA,3473,66.9
561,MARIA SUSANA,3468,45.9
562,MARIA EULALIA,3464,52.9
563,SIMONA,3455,46.1
564,THAIS,3442,19.8
565,MARIA VANESA,3404,34.7
566,NAJAT,3392,36.2
567,DESIRE,3388,20.0
568,CELSA,3374,68.5
569,CLEMENTINA,3373,68.9
570,ENCARNACIO,3359,68.3
571,CLARA MARIA,3352,36.1
572,HAJAR,3352,14.0
573,JANIRE,3343,21.6
574,TRIANA,3339,7.1
575,EVELYN,3324,21.0
576,MARIA CECILIA,3317,47.9
577,OFELIA,3301,64.0
578,IRUNE,3294,20.3
579,ZOHRA,3288,46.5
580,ANUNCIACION,3270,71.4
581,VICTORIANA,3266,72.5
582,ELISENDA,3243,38.0
583,LUCIANA,3239,53.5
584,IKRAM,3221,19.3
585,CYNTHIA,3216,20.9
586,IMAN,3194,12.6
587,MARIA ESTER,3194,44.3
588,AITZIBER,3171,31.5
589,NAYRA,3156,16.2
590,MARIA LORENA,3155,35.8
591,DINA,3152,22.0
592,MARIA AMOR,3134,53.4
593,YESICA,3132,27.1
594,KAREN,3127,23.8
595,ELOINA,3119,68.2
596,ROSA ISABEL,3117,46.1
597,BERNARDA,3116,67.3
598,ZAHRA,3109,39.3
599,NELIDA,3092,56.4
600,FLORINDA,3085,68.3
601,MARIA VIRGINIA,3079,44.7
602,IZARO,3077,9.9
603,YURENA,3076,27.0
604,MARIA OLIVA,3075,56.0
605,LIA,3073,11.8
606,NINA,3062,35.4
607,OLAYA,3059,21.6
608,SABELA,3059,14.2
609,MARIA CAMINO,3058,50.4
610,MARIA CLARA,3056,50.9
611,PRIMITIVA,3051,72.7
612,TERESA MARIA,3050,45.8
613,MARIYA,3033,44.3
614,HAYAT,3030,30.5
615,MARIA ESTELA,3015,41.0
616,SIHAM,3008,24.7
617,JAMILA,2996,36.4
618,HENAR,2992,22.9
619,BLANCA MARIA,2973,38.2
620,ISOLINA,2973,71.0
621,DAMARIS,2971,25.1
622,FATIMA ZAHRA,2954,17.5
623,DULCE MARIA,2948,45.4
624,NATALIYA,2946,41.4
625,MAXIMA,2944,70.6
626,OLALLA,2941,29.5
627,SUSANA MARIA,2941,40.7
628,GARAZI,2939,15.5
629,ADA,2938,16.9
630,LUCRECIA,2925,60.4
631,NEKANE,2916,28.7
632,ARIANA,2911,16.3
633,MELANIE,2904,20.7
634,DUNIA,2898,19.5
635,FIDELA,2898,72.2
636,MARIA VISITACION,2896,62.9
637,PAMELA,2894,32.2
638,MARIA GEMMA,2890,45.5
639,MARWA,2886,5.2
640,ALICIA MARIA,2883,37.1
641,CARMELA,2883,46.1
642,ANA TERESA,2876,45.1
643,MARIA AGUSTINA,2872,55.8
644,SONSOLES,2871,40.9
645,BELINDA,2870,33.9
646,SVETLANA,2864,42.8
647,FATNA,2863,47.6
648,MARIA CATALINA,2858,52.6
649,ARANCHA,2857,19.6
650,HANAN,2857,28.7
651,JONE,2852,22.8
652,ARANTZA,2845,43.3
653,MAXIMINA,2841,70.7
654,YESSICA,2838,25.6
655,JUSTINA,2836,69.4
656,MINA,2833,40.8
657,ELISA MARIA,2831,39.8
658,BRENDA,2823,24.7
659,IRYNA,2821,38.6
660,IMANE,2808,19.1
661,MELISA,2804,22.6
662,MARIA AMELIA,2803,57.5
663,MARIA LORETO,2801,50.5
664,MARIA LEONOR,2799,51.6
665,MARIA VIRTUDES,2788,53.4
666,MARIA ADORACION,2781,60.1
667,SIRA,2774,30.7
668,EDELMIRA,2765,69.4
669,BASILIA,2761,67.0
670,ELADIA,2761,69.5
671,CHLOE,2754,4.6
672,MARIA ANGELICA,2751,47.3
673,LUISA FERNANDA,2749,39.4
674,VIORICA,2744,46.1
675,ANNE,2739,25.1
676,CARMEN DOLORES,2732,48.9
677,IVET,2728,8.5
678,ESTHER MARIA,2726,37.2
679,MARIA LLANOS,2724,48.5
680,HALIMA,2712,35.6
681,FATIMA ZOHRA,2708,27.5
682,CRISTOBALINA,2706,61.1
683,MARIA GABRIELA,2689,37.1
684,MARIA SALOME,2687,51.6
685,ISIDRA,2677,70.1
686,LEILA,2667,23.2
687,MARIA SANTOS,2665,58.9
688,RITA MARIA,2657,44.1
689,MARIA O,2655,42.9
690,APOLONIA,2646,66.9
691,CARMEN DELIA,2646,47.8
692,OKSANA,2639,38.9
693,ARGENTINA,2632,68.9
694,DIANA MARIA,2620,32.4
695,JULIETA,2619,19.8
696,RAQUEL MARIA,2619,35.9
697,MARIA SIERRA,2618,51.2
698,MARIA IRENE,2615,48.6
699,RAHMA,2610,48.0
700,ARANTZAZU,2606,34.4
701,ANA LUISA,2605,45.7
702,FELICIA,2598,57.8
703,ANA LUCIA,2590,33.3
704,MIGUELA,2572,67.0
705,ANA PILAR,2570,41.3
706,BERNARDINA,2570,68.3
707,MARIA FLOR,2560,54.6
708,ABIGAIL,2555,21.5
709,MARIA COVADONGA,2550,52.2
710,LUCILA,2541,62.9
711,MARIA FUENSANTA,2541,48.8
712,PRUDENCIA,2541,70.8
713,DOROTEA,2530,69.8
714,ANGELITA,2525,67.3
715,CATERINA,2519,31.7
716,MICHELLE,2513,19.7
717,MARIA MONSERRAT,2510,48.6
718,ISABELLA,2509,9.9
719,GALA,2505,13.9
720,KARINA,2504,27.9
721,TEOFILA,2504,74.2
722,PATRICIA MARIA,2502,31.5
723,OLAIA,2483,17.9
724,OLIMPIA,2481,56.0
725,ALAZNE,2474,20.6
726,JARA,2469,14.1
727,NARCISA,2469,66.9
728,RODICA,2469,44.6
729,OLENA,2449,40.1
730,PRISCILA,2449,37.4
731,DOLORES MARIA,2444,46.8
732,MARIA ANA,2443,55.8
733,MELISSA,2430,19.8
734,NAOMI,2428,14.7
735,MARIA LLUISA,2425,59.7
736,MILAGROSA,2413,48.5
737,MARIA ALBA,2400,41.6
738,ANA VICTORIA,2398,35.4
739,ROSARIO MARIA,2391,43.9
740,SEGUNDA,2382,72.9
741,NANCY,2379,42.0
742,MALENA,2371,10.4
743,LUZ DIVINA,2370,54.3
744,MARIA VANESSA,2369,35.5
745,MARIA PAULA,2361,41.9
746,MARIA RITA,2359,55.9
747,HABIBA,2356,46.0
748,AMADA,2349,62.7
749,EDUARDA,2343,65.9
750,MARIA CARIDAD,2332,52.5
751,EMERITA,2324,69.2
752,MADDI,2322,10.3
753,DORINDA,2321,71.4
754,NAIRA,2321,14.9
755,LOUBNA,2319,26.5
756,ZURIÑE,2318,26.5
757,SELENE,2302,16.8
758,BENIGNA,2293,71.3
759,MARIA MATILDE,2288,55.0
760,ENARA,2274,12.7
761,GEORGETA,2271,44.9
762,MARIA HENAR,2271,48.9
763,LIBERTAD,2269,31.3
764,MARIA CELESTE,2265,39.6
765,MARIELA,2259,29.7
766,IRAIA,2240,10.2
767,SVITLANA,2238,43.4
768,CARMEN PILAR,2227,46.6
769,BRUNA,2222,15.5
770,MIRELA,2222,34.9
771,DAMIANA,2220,66.4
772,BIANCA,2216,16.5
773,YAMINA,2210,44.8
774,KATIA,2206,26.1
775,LIDIA MARIA,2206,32.3
776,MARGARIDA,2204,56.1
777,ITXASO,2194,25.9
778,MARISA,2194,41.8
779,ANGELS,2190,45.8
780,ROXANA,2188,31.0
781,MARIA NEUS,2180,48.3
782,RESURRECCION,2177,65.2
783,LOREA,2173,23.6
784,ANITA,2169,55.8
785,AZIZA,2164,34.2
786,TETYANA,2160,42.1
787,IMMACULADA,2148,44.9
788,NURIA MARIA,2148,36.4
789,ERNESTINA,2136,68.6
790,IONELA,2131,31.2
791,LUCIA MARIA,2127,29.7
792,MARIA CANDELAS,2124,64.4
793,ROSALINA,2122,62.1
794,YLENIA,2117,14.7
795,SANTIAGA,2113,68.5
796,ISAURA,2108,62.6
797,MIA,2105,5.6
798,ROSAURA,2101,59.4
799,IRMA,2100,43.7
800,BLANCA NIEVES,2096,58.2
801,MARIA JOAQUINA,2094,59.2
802,MARIA VERONICA,2091,37.1
803,ILHAM,2089,24.6
804,QUERALT,2077,11.7
805,MARIAN,2070,25.9
806,IDAIRA,2069,14.5
807,ZORAIDA,2063,33.5
808,CINTA,2056,52.6
809,FARAH,2056,16.5
810,LUZDIVINA,2056,67.1
811,DIGNA,2054,66.9
812,PETRONILA,2054,67.6
813,MARIA SONSOLES,2053,52.2
814,MARIA NOELIA,2051,36.5
815,MARIA CAROLINA,2046,39.7
816,MARIA RAMONA,2043,59.9
817,GUMERSINDA,2037,71.3
818,MAYA,2033,14.5
819,ALBINA,2029,67.1
820,MIRELLA,2028,22.7
821,MARGALIDA,2027,36.5
822,PLACIDA,2025,67.8
823,ANA BEATRIZ,2020,37.2
824,MARIA AFRICA,2018,52.6
825,DEBORAH,2015,30.3
826,MARIA ENGRACIA,2012,58.2
827,CATALINA MARIA,2011,41.4
828,VALERIANA,2011,72.0
829,EUFEMIA,2010,71.5
830,HILARIA,2000,71.4
831,JAIONE,1998,34.9
832,GINA,1997,22.4
833,MARIA SORAYA,1997,42.0
834,OIHANA,1996,27.5
835,SELENA,1984,11.9
836,HIBA,1983,7.5
837,GENEROSA,1978,72.9
838,ANA VANESA,1977,33.7
839,CELIA MARIA,1976,36.0
840,CLOE,1973,4.7
841,ROMINA,1973,26.7
842,MENCIA,1971,9.2
843,EDUVIGIS,1970,60.8
844,MERIEM,1969,27.0
845,MIRANDA,1965,11.3
846,MIRYAM,1960,27.1
847,CASIMIRA,1958,71.6
848,MARIOLA,1955,25.8
849,MARLENE,1955,39.7
850,NORMA,1952,43.1
851,ZINEB,1949,28.1
852,SANAE,1948,26.1
853,CARINA,1946,35.3
854,DARIA,1946,39.5
855,CONSTANZA,1939,52.1
